citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
11 FR 12695, ,"","","",Presidential Document,Executive Order,10/29/1946,1946-10-25,"","Executive Order No.    Creating an Emergency Board To Investigate Disputes Between the Atlanta & St. Andrews Bay Railway Company and Other Carriers, and Certain of Their Employees","Revoked by: EO 12553, February 25, 1986",9793,""
11 FR 12697, ,"","","",Presidential Document,Executive Order,10/29/1946,1946-10-26,"",Executive Order No.    Designating the Solicitor of the Department of the Interior To Act as Under Secretary or Assistant Secretary of the Interior,"",9794,""
11 FR 12697, ,"","","",Presidential Document,Executive Order,10/29/1946,1946-10-26,"",Executive Order No.    Restoring Certain Lands to the Jurisdiction of the Territory of Hawaii,"",9795,""
11 FR 12499, ,"","","",Presidential Document,Executive Order,10/25/1946,1946-10-23,"","Executive Order No.    Amending Executive Order No. 9492, as Amended, Prescribing Regulations Governing Non-Military and Non-Naval Transportation on Army and Navy Air Transports","Amends: EO 9492, October 24, 1944
See: EO 9629, September 24, 1945;       EO 9714, April 20, 1946; EO       9840, April 22, 1947; EO 9867, June 23,       1947; EO 9886, August 22, 1947",9792,""
11 FR 12277, ,"","","",Presidential Document,Executive Order,10/19/1946,1946-10-17,"",Executive Order No.   Providing for a Study of Scientific Research and Development Activities and Establishing the President's Scientific Research Board,"Amended by: EO 9809, December 12, 1946
See: EO 9809, December 12, 1946
Note: The Office was terminated by EO 9841, April       23, 1947.",9791,""
11 FR 12121, ,"","","",Presidential Document,Executive Order,10/17/1946,1946-10-14,"","Executive Order No.   Amending Executive Order No. 7926 of July 7, 1938, Establishing the Wheeler Migratory Waterfowl Refuge","Amends: EO 7926, July 7, 1938
See: Proclamation 2416, July 25, 1940; Public Land Order 1988 (24 FR 7787)",9790,""
11 FR 11981, ,"","","",Presidential Document,Executive Order,10/15/1946,1946-10-14,"",Executive Order No.    Terminating the Office of Alien Property Custodian and Transferring its Function to the Attorney General,"Revokes: EO 9095, March 11, 1942
See: Reorganization Plan 1 of 1947",9788,""
11 FR 11981, ,"","","",Presidential Document,Executive Order,10/15/1946,1946-10-14,"",Executive Order No.   Establishing the Philippine Alien Property Administration and Defining its Functions,"Amends: EO 9142, April 21, 1942
Superseded by : EO 9818, January 7, 1947
See: EO 9747, July 3, 1946",9789,""
11 FR 11553, ,"","","",Presidential Document,Executive Order,10/08/1946,1946-10-05,"","Executive Order No.    Regulations Governing the Consideration, Adjustment, and Settlement of Claims Under Public Law 657, Approved August 7, 1946","",9786,""
11 FR 11556, ,"","","",Presidential Document,Executive Order,10/08/1946,1946-10-05,"","Executive Order No.   Amendment of Executive Order No. 7747 of November 20, 1937, as Amended, Establishing the San Clemente Island Naval Defensive Sea Area","Amends: EO 7747, November 20, 1937
Revoked by: EO 9894, September 23, 1947",9787,""
11 FR 11187, ,"","","",Presidential Document,Executive Order,10/01/1946,1946-10-01,"","Executive Order No.    Amendment of Executive Order 9744B of June 19, 1946, Prescribing Regulations Governing the Furnishing of Clothing in Kind or Payment of Cash Allowances in lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve","Amends: EO 9744-B, June 29, 1946
Superseded by: EO 9984, July 31, 1948
See: EO 9869, June 30, 1947",9785,""
11 FR 10909, ,"","","",Presidential Document,Executive Order,09/27/1946,1946-09-25,"",Executive Order No.    Providing for the More Efficient Use and for the Transfer and Other Disposition of Government Records,"Revoked by: EO 10561, September 13, 1954
See: EO 9842, April 23, 1947; EO       10186, December 1, 1950; Transfer Order 40 of the Secretary of Defense       dated July 22, 1949 (14 FR 4908)",9784,""
11 FR 10747, ,"","","",Presidential Document,Executive Order,09/25/1946,1946-09-23,"","Executive Order No.    Revocation of Executive Order No. 7744, Authorizing the Solicitor of the Department of Labor To Act as Secretary of Labor","Revokes: EO 7744, November 19, 1937",9783,""
11 FR 10693, ,"","","",Presidential Document,Executive Order,09/24/1946,1946-09-23,"",Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Utah Idaho Central Railroad Corporation and Certain of its Employees,"Revoked by: EO 12553, February 25, 1986",9782,""
11 FR 10645, ,"","","",Presidential Document,Executive Order,09/21/1946,1946-09-19,"",Executive Order No.    Exemption of Certain Officers of the Executive Branch of the Government From Compulsory Retirement for Age,"See: EO 9963, May 28, 1948",9780,""
11 FR 10645, ,"","","",Presidential Document,Executive Order,09/21/1946,1946-09-19,"",Executive Order No.    Establishing the Air Coordinating Committee,"Amended by: EO 10360, June 11, 1952; EO       10438, March 13, 1953; EO 9990, August       21, 1948
Superseded by: EO 10655, January 28, 1956
See: Transfer Order 5 of the Secretary of Defense dated December 31, 1947 (13 FR 218)",9781,""
11 FR 10575, ,"","","",Presidential Document,Executive Order,09/20/1946,1946-09-18,"",Executive Order No.   Authorizing the Appointment of Robert J. Barrett to a Position as Captain in the Metropolitan Police Force of the District of Columbia Without Regard to the Civil Service Rules,"",9779,""
11 FR 10149, ,"","","",Presidential Document,Executive Order,09/13/1946,1946-09-10,"",Executive Order No.    Regulations Governing Travel and Transportation Expenses of New Appointees to Positions in the Government Service Located Outside the United States and Such Expenses of Employees Returning to the United States,"Amended by: EO 10177, October 27, 1950
Revoked by: EO 11012, March 27, 1962
See: EO 10790, November 20, 1958",9778,""
11 FR 9833, ,"","","",Presidential Document,Executive Order,09/07/1946,1946-09-05,"",Executive Order No.   Designating the Honorable A. Cecil Snyder as Acting Judge of the District Court of the United States for Puerto Rico,"",9777,""
11 FR 9789, ,"","","",Presidential Document,Executive Order,09/06/1946,1946-09-05,"",Executive Order No.    Reopening East Executive Avenue to Public Travel,"",9776,""
11 FR 9729, ,"","","",Presidential Document,Executive Order,09/05/1946,1946-09-03,"","Executive Order No.   Designating the Reconstruction Finance Corporation as the Agency To Act With Respect to Certain Bonds, Notes, and Other Securities Acquired on Behalf of the United States Under the Provisions of the Transportation Act, 1920","Amends: EO 8533, September 6, 1940",9774,""
11 FR 9731, ,"","","",Presidential Document,Executive Order,09/05/1946,1946-09-03,"",Executive Order No.   Establishing the Federal Committee on Highway Safety,"Revoked by: EO 10718, June 17, 1957",9775,""
11 FR 9667, ,"","","",Presidential Document,Executive Order,09/04/1946,1946-09-03,"",Executive Order No.    Disposal of the U.S.S. Layfayette (APV-4. Ex-Normandie),"Revokes: EO 9001-A, December 27, 1941
See: EO 8771, June 6, 1941",9773,""
11 FR 9325, ,"","","",Presidential Document,Executive Order,08/27/1946,1946-08-24,"","Executive Order No.    Transferring the Use, Possession, and Control of Certain Lands to the Tennessee Valley Authority","See: EO 5398, July 21, 1930",9771,""
11 FR 9325, ,"","","",Presidential Document,Executive Order,08/27/1946,1946-08-24,"","Executive Order No.    Restoring Limitations Upon Punishments for Certain Violations of Articles of War 58, 59, 61 and 86, as to Offenses Committed in Occupied Enemy Territory","See:             EO 4773, November 29, 1927; EO 9048, February       3, 1942; EO 9267, November 9, 1942; EO       9683, January 19, 1946",9772,""
11 FR 9229, ,"","","",Presidential Document,Executive Order,08/24/1946,1946-08-22,"",Executive Order No.   Creating an Emergency Board To Investigate a dispute Between the Long Island Railroad Company and Certain of its Employees,"Revoked by: EO 12553, February 25, 1986",9770,""
11 FR 8857, ,"","","",Presidential Document,Executive Order,08/16/1946,1946-08-14,"",Executive Order No.    Amendment of the Regulations Governing the Appointment of Postmasters of the Fourth Class,"Superseded by: EO 10017, November 10, 1948
See: EO 10869, March 9, 1960",9769,""
11 FR 8710, ,"","","",Presidential Document,Executive Order,08/13/1946,1946-08-09,"",Executive Order No.   Amending the Foreign Service Regulations of the United States,"Amends: EO 7968, September 3, 1938
Revoked by: EO 10697, February 6, 1957
See: EO 8297, December 4, 1939; EO       9303, February 11, 1943; EO 9407, December       17, 1943; EO 9507, December 20, 1944; EO       9519, July 21, 1945; EO 10473,       July 22, 1953",9767,""
11 FR 8711, ,"","","",Presidential Document,Executive Order,08/13/1946,1946-08-09,"","Executive Order No.   Extending the Provisions of Executive Order 9177 of May 30, 1942, to the Secretary of Commerce","See: EO 9177, May 30, 1942; EO       9903, November 12, 1947",9768,""
11 FR 8345, ,"","","",Presidential Document,Executive Order,08/02/1946,1946-07-31,"",Executive Order No.    Authorizing the Detail of an Army Officer for Military Duty With the Institute of Inter-American Affairs and the Inter-American Educational Foundation,"",9766,""
11 FR 8205, ,"","","",Presidential Document,Executive Order,07/31/1946,1946-07-29,"","Executive Order No.   Inspection of Income, Excess-Profits, Declared Value Excess-Profits, and Capital Stock Tax Returns by the Special Committee Established Pursuant to Senate Resolution 71, Seventy-Seventh Congress, First Session, To Investigate the Operation of the National-Defense Program","",9764,""
11 FR 8205, ,"","","",Presidential Document,Executive Order,07/31/1946,1946-07-29,"","Executive Order No.   Authorizing the Appointment of Albert H. Lander, Jr., to a Position as Member of the Employees' Compensation Appeal Board in the Federal Security Agency Without Regard to Civil Service Rules","",9765,""
11 FR 8144, ,"","","",Presidential Document,Executive Order,07/30/1946,1946-07-27,"",Executive Order No.   Creating an Emergency Board To Investigate a Dispute Between the Pullman Company and Certain of its Employees,"Revoked by: EO 12553, February 25, 1986",9763,""
11 FR 8073, ,"","","",Presidential Document,Executive Order,07/27/1946,1946-07-25,"",Executive Order No.   Transferring the Functions of the Office of Economic Stabilization to the Office of War Mobilization and Reconversion,"Revoked by: EO 9809, December 12, 1946
See: EO 9250, October 3, 1942; EO       9699, February 21, 1946",9762,""
11 FR 7999, ,"","","",Presidential Document,Executive Order,07/25/1946,1946-07-23,"",Executive Order No.   Conferring Certain Authority Upon the Secretary of State With Regard to Diplomatic and Consular Property of Germany and Japan Within the United States,"See: EO 8389, April 10, 1940; EO       9095, March 11, 1942
Note: See Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601), which terminates, effective September 14, 1978, all powers and authorities, except those expressly cited, possessed by the President and/or other Federal officials as a result of any declaration of a national emergency in effect on September 14, 1976.",9760,""
11 FR 7999, ,"","","",Presidential Document,Executive Order,07/25/1946,1946-07-23,"",Executive Order No.    Preservation and Display of Enemy Flags Captured by the Navy and the Coast Guard,"Supersedes: Executive order of February 9, 1849 (unnumbered series)
Amended by: EO 9796, October 31, 1946",9761,""
11 FR 7927, ,"","","",Presidential Document,Executive Order,07/23/1946,1946-07-19,"",Executive Order No.    Authorizing the Secretary of the Interior To Take Possession of and To Operate Certain Coal Mines,"See: EO 9728, May 21, 1946",9758,""
11 FR 7929, ,"","","",Presidential Document,Executive Order,07/23/1946,1946-07-22,"",Executive Order No.   Suspending Certain Statutory Provisions Relating to Employment in the Canal Zone,"",9759,""
11 FR 7833, ,"","","",Presidential Document,Executive Order,07/19/1946,1946-07-16,"",Executive Order No.   Authorizing the Appointment of Ellen S. Woodward to a Position as Director of Inter-Agency Relations in the Federal Security Agency Without Regard to Civil Service Rules,"",9753,""
11 FR 7833, ,"","","",Presidential Document,Executive Order,07/19/1946,1946-07-16,"",Executive Order No.    Authorizing the Appointment of Jewell Wood Swofford to a Position as Commissioner for Special Services in the Federal Security Agency Without Regard to Civil Service Rules,"",9754,""
11 FR 7833, ,"","","",Presidential Document,Executive Order,07/19/1946,1946-07-16,"",Executive Order No.   Authorizing the Appointment of Hattie W. Caraway to a Position as Member of the Employees' Compensation Appeal Board in the Federal Security Agency Without Regard to Civil Service Rules,"",9755,""
11 FR 7833, ,"","","",Presidential Document,Executive Order,07/19/1946,1946-07-16,"",Executive Order No.   Authorizing the Appointment of George E. Bigge to a Position as Director of Federal-State Relations in the Federal Security Agency Without Regard to Civil Service Rules,"",9756,""
11 FR 7833, ,"","","",Presidential Document,Executive Order,07/19/1946,1946-07-16,"",Executive Order No.   Authorizing the Appointment of Arthur J. Altmeyer to a Position as Commissioner for Social Security in the Federal Security Agency Without Regard to Civil Service Rules,"",9757,""
11 FR 7761, ,"","","",Presidential Document,Executive Order,07/17/1946,1946-07-15,"",Executive Order No.    Restoring Certain Land to the Territory of Hawaii for Use of the City and County of Honolulu,"See: EO 3358, November 24, 1920",9752,""
11 FR 7713, ,"","","",Presidential Document,Executive Order,07/13/1946,1946-07-11,"","Executive Order No.   Designating Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","Amended by: EO 10864, February 18, 1960
Revoked by: EO 10083, October 10, 1949 (in part)
See: EO 9698, February 19, 1946; EO       9823, January 24, 1947; EO 9863, May 31,       1947; EO 9887, August 22, 1947; EO       9911, December 19, 1947; EO 9972, June       25, 1948; EO 10025, December 30, 1948",9751,""
11 FR 7649, ,"","","",Presidential Document,Executive Order,07/12/1946,1946-07-10,"",Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Denver & Rio Grande Western Railroad Company and Certain of its Employees,"Revoked by: EO 12553, February 25, 1986",9749,""
11 FR 7649, ,"","","",Presidential Document,Executive Order,07/12/1946,1946-07-10,"","Executive Order No.   Excluding From the Provisions of the Classification Act of 1923, as Amended, Positions of Persons Whose Employment in Government Hospitals is on a Student-Training or Resident-Training Basis","",9750,""
11 FR 7518, ,"","","",Presidential Document,Executive Order,07/09/1946,1946-07-03,"",Executive Order No.    Continuing the Functions of the Alien Property Custodian and the Department of the Treasury in the Philippines,"See: EO 8389, April 10, 1940; EO       9095, March 11, 1942; EO 9789, October       14, 1946; EO 9818, January 7, 1947",9747,""
11 FR 7518, ,"","","",Presidential Document,Executive Order,07/09/1946,1946-07-03,"","Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Northwest Airlines, Inc., and Certain of its Employees","Revoked by: EO 12553, February 25, 1986",9748,""
11 FR 7391, ,"","","",Presidential Document,Executive Order,07/03/1946,1946-06-29,"","Executive Order No.    Regulations Governing the Furnishing of Clothing in Kind or Payment of Cash Allowances in Lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve","Supersedes: EO 9356, June 24, 1943; EO       9447, June 8, 1944; EO 9465, Augusts 12,       1944; EO 9525, February 28, 1945;       EO 9583, July 2, 1945; EO       9642, October 18, 1945
Amended by: EO 9785, October 1, 1946; EO       9869, June 30, 1947
Superseded by: EO 9984, July 31, 1948",9744-B,""
11 FR 7394, ,"","","",Presidential Document,Executive Order,07/03/1946,1946-06-29,"","Executive Order No.   Amending Executive Order No. 9561 of June 1, 1945, Prescribing Regulations Governing the Granting of Allowances for Quarters and Subsistence to Enlisted Men","Amends: EO 9561, June 1, 1945
Superseded by: EO 9871, July 8, 1947
See: EO 9386, October 15, 1947",9744-C,""
11 FR 7327, ,"","","",Presidential Document,Executive Order,07/02/1946,1946-06-29,"",Executive Order No.    Transferring the Review Committee on Deferment of Government Employees to the Office of War Mobilization and Reconversion,"See: EO 9309, March 6, 1943; EO       9617, September 19, 1945",9744-A,""
11 FR 7327, ,"","","",Presidential Document,Executive Order,07/02/1946,1946-06-30,"",Executive Order No.    Providing for the Interim Administration of Certain Continuing Functions of the Office of Price Administration,"",9745,""
11 FR 7329, ,"","","",Presidential Document,Executive Order,07/02/1946,1946-07-01,"",Executive Order No.    Authorizing the Secretary of War and the Governor of the Panama Canal To Perform Certain Functions Relating to the Panama Canal and the Canal Zone,"Amended by: EO 10101, July 31, 1950; EO       10595, February 7, 1955
Superseded by: EO 11305, September 12, 1966
See: EO 10237, April 26, 1951; Transfer Order       40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9746,""
11 FR 7255, ,"","","",Presidential Document,Executive Order,06/29/1946,1946-06-27,"",Executive Order No.   Termination of the Office of the Director of Liquidation,"See: EO 9647, January 4, 1946",9744,""
11 FR 7179, ,"","","",Presidential Document,Executive Order,06/28/1946,1946-06-26,"","Executive Order No.   Regulations Governing the Payment of Expenses of Transportation of the Immediate Families of Civilian Officers and Employees of the Government, Fiscal Year, 1947","Revoked by: EO 9805, November 25, 1946
See: EO 9587, July 6, 1945; EO       9778, September 10, 1946",9743,""
11 FR 7125, ,"","","",Presidential Document,Executive Order,06/27/1946,1946-06-25,"","Executive Order No.    Extending the Existence of the Quetico-Superior Committee, Created by Executive Order No. 6793, of June 30, 1934","Superseded by: EO 11342, April 10, 1967
See:             EO 6793, June 30, 1934; EO 10134, June 28,       1950",9741,""
11 FR 7125, ,"","","",Presidential Document,Executive Order,06/27/1946,1946-06-25,"",Executive Order No.    Termination and Liquidation of the War Relocation Authority,"See: EO 9102, March 18, 1942; EO       9423, February 16, 1944",9742,""
11 FR 7029, ,"","","",Presidential Document,Executive Order,06/25/1946,1946-06-20,"","Executive Order No.    Amendment of Executive Order No. 1888 of February 2, 1914, as Amended, Relating to Conditions of Employment in the Service of the Panama Canal and the Panama Railroad Company on the Isthmus of Panama","Amends: EO 1888, February 2, 1914
Revokes: EO 9093, January 24, 1942",9740,""
11 FR 6957, ,"","","",Presidential Document,Executive Order,06/22/1946,1946-06-20,"",Executive Order No.   Prescribing Regulations Governing the Payment of Expenses of Transportation of Civilian Officers and Employees Transferred Incident to the Return of Departmental Functions to the Seat of Government,"Revoked by: EO 9834, March 20, 1947
See: EO 8588, November 7, 1940; EO       9587, July 6, 1945",9739,""
11 FR 6901, ,"","","",Presidential Document,Executive Order,06/21/1946,1946-06-19,"","Executive Order No.   Restricting Competition in Examination for the Position of Correctional Officer Under the Bureau of Prisons, Department of Justice","Supersedes: EO 9662, November 29,       1945",9738,""
11 FR 6747, ,"","","",Presidential Document,Executive Order,06/19/1946,1946-06-17,"","Executive Order No.    Revoking Section 3 of Executive Order 9328 of April 8, 1943, Relating to the Stabilization of Wages, Prices, and Salaries","Revokes: EO 9328, April 8, 1943 (in part)
Revoked by: EO 9801, November 9, 1946",9737,""
11 FR 6661, ,"","","",Presidential Document,Executive Order,06/18/1946,1946-06-14,"","Executive Order No.   Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Monongahela Connecting Railroad Company","",9736,""
11 FR 6481, ,"","","",Presidential Document,Executive Order,06/13/1946,1946-06-11,"",Executive Order No.   Establishing a Cabinet Committee on Palestine and Related Problems,"",9735,""
11 FR 6225, ,"","","",Presidential Document,Executive Order,06/08/1946,1946-06-06,"",Executive Order No.    President's Certificate of Merit,"Amended by: EO 9857-B, May 27, 1947
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9734,""
11 FR 6127, ,"","","",Presidential Document,Executive Order,06/06/1946,1946-06-04,"",Executive Order No.   Authorizing Certification for Probational Appointment of Certain Classes of Persons,"Supersedes: EO 9538, April 13, 1945
Revoked by: EO 9830, February 24, 1947",9733,""
11 FR 5985, ,"","","",Presidential Document,Executive Order,06/04/1946,1946-06-03,"","Executive Order No.    Relating to the Administration of the Act of February 22, 1935, as Amended","Amends: EO 7756, December 1, 1937
Revoked by: EO 10752, February 12, 1958",9732,""
11 FR 5893, ,"","","",Presidential Document,Executive Order,06/01/1946,1946-05-29,"",Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Hudson & Manhattan Railroad Company and Certain of Its Employees,"Revoked by: EO 12553, February 25, 1986",9731,""
11 FR 5777, ,"","","",Presidential Document,Executive Order,05/28/1946,1946-05-24,"","Executive Order No.   Amendment of Executive Order No. 9630 of September 27, 1945, Redistributing Foreign Economic Functions and Functions With Respect to Surplus Property in Foreign Affairs","Amends: EO 9630, September 27, 1945
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9730,""
11 FR 5641, ,"","","",Presidential Document,Executive Order,05/24/1946,1946-05-23,"",Executive Order No.   Further Defining the Functions and Duties of the Office of Defense Transportation,"Amends: EO 9054, February 7, 1942
Amended by: EO 9919, January 3, 1948
Revoked by: EO 10065, July 7, 1949
See: EO 9125, April 7, 1942; EO       9638, October 4, 1945",9729,""
11 FR 5593, ,"","","",Presidential Document,Executive Order,05/23/1946,1946-05-21,"",Executive Order No.    Authorizing the Secretary of the Interior To Take Possession of and To Operate Certain Coal Mines,"See: EO 9758, July 19, 1946",9728,""
11 FR 5461, ,"","","",Presidential Document,Executive Order,05/21/1946,1946-05-17,"","Executive Order No.   Possession, Control, and Operation of Certain Railroads","",9727,""
11 FR 5437, ,"","","",Presidential Document,Executive Order,05/18/1946,1946-05-17,"",Executive Order No.   Transfer of Fiscal Functions Relating to Lend-Lease Matters From the Department of State to the Treasury Department,"",9726,""
11 FR 5381, ,"","","",Presidential Document,Executive Order,05/17/1946,1946-05-15,"","Executive Order No.   Amendment of Executive Order No. 9672, Establishing the National Wage Stabilization Board","Amends: EO 9672, December 31, 1945
Note: The Board was terminated by EO 9809, December       12, 1946.",9724,""
11 FR 5381, ,"","","",Presidential Document,Executive Order,05/17/1946,1946-05-16,"","Executive Order No.    Designating the Alien Property Custodian To Administer the Powers and Authority Conferred Upon the President by Sections 20 and 32 of the Trading With the Enemy Act, as Amended","See: EO 9818, January 7, 1947",9725,""
11 FR 5345, ,"","","",Presidential Document,Executive Order,05/16/1946,1946-05-14,"",Executive Order No.    Termination of the President's War Relief Control Board,"Revokes: EO 9205, July 25, 1942",9723,""
11 FR 5281, ,"","","",Presidential Document,Executive Order,05/15/1946,1946-05-13,"","Executive Order No.    Reassignment of the Functions of Supply Command and the Commanding General, Services of Supply","Amends: EO 9082, February 28, 1942
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9722,""
11 FR 5209, ,"","","",Presidential Document,Executive Order,05/14/1946,1946-05-10,"",Executive Order No.    Providing for the Transfer of Personnel to Public International Organizations in Which the United States Government Participates,"Amended by: EO 9949, April 17, 1948; EO       10054, April 29, 1949; EO 10103, February       1, 1950; EO 10415, December 2, 1952; EO       11138, January 7, 1964; EO 11303, September       12, 1966
Revoked by: EO 10804, February 12, 1959       (in part); EO 12553, February 25, 1986
See: EO 9691, February 4, 1946; EO       9862, May 31, 1947; EO 10228, March 26,       1951; Transfer Order 40 of the Secretary of Defense dated July 22, 1949       (14 FR 4908)",9721,""
11 FR 5105, ,"","","",Presidential Document,Executive Order,05/10/1946,1946-05-08,"","Executive Order No.   Discontinuing the Sitka and Subic Bay Naval Airspace Reservations and the Subic Bay, Manila Bay, Los Angeles-Long Beach Harbor, San Diego, San Francisco, Columbia River Entrance, and Strait of Juan de Fuca and Puget Sound Defensive Sea Areas","See: EO 8597, November 18, 1940; EO       8718, March 22, 1941, EO 8853, August 16,       1941; EO 8953, November 27, 1941; EO       8970, December 11, 1941",9720,""
11 FR 5053, ,"","","",Presidential Document,Executive Order,05/09/1946,1946-05-07,"","Executive Order No.   Creating an Emergency Board To Investigate Disputes Between the Transcontinental & Western Air, Inc., and Other Carriers, and Certain of Their Employees","Revoked by: EO 12553, February 25, 1986",9719,""
11 FR 4965, ,"","","",Presidential Document,Executive Order,05/07/1946,1946-05-03,"",Executive Order No.    Termination of the Petroleum Administration for War,"See: EO 9276, December 2, 1942",9718,""
11 FR 4641, ,"","","",Presidential Document,Executive Order,04/27/1946,1946-04-25,"","Executive Order No.   Directing the Emergency Board Created by Executive Order 9716 of April 24, 1946 To Investigate a Dispute Between the Railway Express Agency, Inc., and Certain of Its Employees, Also To Investigate Disputes Between the Agency and Certain Other of Its Employees","Revoked by: EO 12553, February 25, 1986
See: EO 9716, April 24, 1946",9717,""
11 FR 4597, ,"","","",Presidential Document,Executive Order,04/26/1946,1946-04-24,"","Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Railway Express Agency, Inc., and Certain of Its Employees","Revoked by: EO 12553, February 25, 1986
See: EO 9717, April 25, 1946",9716,""
11 FR 4579, ,"","","",Presidential Document,Executive Order,04/25/1946,1946-04-23,"",Executive Order No.    Death of Harlan Fiske Stone,"",9715,""
11 FR 4443, ,"","","",Presidential Document,Executive Order,04/23/1946,1946-04-20,"","Executive Order No.    Amending Executive Order No. 9492, as Amended, Prescribing Regulations Governing Non-Military and Non-Naval Transportation on Army and Navy Air Transports","Amends: EO 9492, October 24, 1944
See: EO 9629, September 25, 1945;       EO 9792, October 23, 1946; EO       9840, April 22, 1947; EO 9867, June 23,       1947; EO 9886, August 22, 1947; EO       9792, October 23, 1946",9714,""
11 FR 4287, ,"","","",Presidential Document,Executive Order,04/18/1946,1946-04-17,"","Executive Order No.    Creating an Emergency Board To Investigate a Dispute Between the Chicago, Rock Island & Pacific Railway Company and Certain of Its Employees","Revoked by: EO 12553, February 25, 1986",9713,""
11 FR 4143, ,"","","",Presidential Document,Executive Order,04/16/1946,1946-04-13,"","Executive Order No.    Amendment of Executive Order No. 8743 of April 23, 1941, Extending the Classified Civil Service","Amends: EO 8743, April 23, 1941
Amended by: EO 12107, December 28, 1978
See: EO 9678, January 14, 1946",9712,""
11 FR 4081, ,"","","",Presidential Document,Executive Order,04/13/1946,1946-04-11,"",Executive Order No.   Providing Reemployment Benefits for Federal Civilian Employees Who Enter Civilian Service With the War or Navy Departments in Occupied Areas,"",9711,""
11 FR 3941, ,"","","",Presidential Document,Executive Order,04/11/1946,1946-04-10,"",Executive Order No.   Terminating the Office of Inter-American Affairs and Transferring Certain of Its Functions,"Amends: EO 8840, July 30, 1941; EO       9532, March 23, 1945",9710,""
11 FR 3389, ,"","","",Presidential Document,Executive Order,04/02/1946,1946-03-29,"",Executive Order No.    Providing Interim Arrangements Respecting Certain Air Navigation Facilities Abroad,"Supersedes: EO 9669, December 28,       1945
See: EO 9797, November 6, 1946; EO       11048, September 4, 1962",9709,""
11 FR 3241, ,"","","",Presidential Document,Executive Order,03/28/1946,1946-03-26,"","Executive Order No.    Specifying Communicable Diseases for the Purpose of Regulations Providing for the Apprehension, Detention, or Conditional Release of Individuals To Prevent the Introduction, Transmission, or Spread of Communicable Diseases","Amended by: EO 10532, May 28, 1954; EO       11070, December 12, 1962
Revoked by: EO 12452, December 22, 1983",9708,""
11 FR 3149, ,"","","",Presidential Document,Executive Order,03/26/1946,1946-03-23,"","Executive Order No.    Amendment of the Executive Order of January 31, 1946 Entitled ``Consolidation of Surplus property Functions''","Amends: EO 9689, January 31, 1946",9707,""
11 FR 2811, ,"","","",Presidential Document,Executive Order,03/19/1946,1946-03-15,"",Executive Order No.   Delegating Certain Functions and Authority Under the Agricultural Marketing Agreement Act of 1937 to the Economic Stabilization Director,"Revoked by: EO 9841, April 23, 1947",9705,""
11 FR 2811, ,"","","",Presidential Document,Executive Order,03/19/1946,1946-03-15,"","Executive Order No.   Amending Executive Order No. 9265 of November 6, 1942, Establishing the American, European-African-Middle Eastern and Asiatic-Pacific Campaign Medals","Amends: EO 9265, November 6, 1942
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9706,""
11 FR 2675, ,"","","",Presidential Document,Executive Order,03/15/1946,1946-03-14,"",Executive Order No.   Functions of the American Battle Monuments Commission,"",9704,""
11 FR 2625, ,"","","",Presidential Document,Executive Order,03/14/1946,1946-03-12,"","Executive Order No.   Regulations Relating to the Medical Care of Certain Personnel of the Coast Guard, Coast and Geodetic Survey, Public Health Service, and Former Lighthouse Service","Amended by: EO 10122, April 15, 1950; EO       10400, September 27, 1952; EO 11160, July       6, 1964",9703,""
11 FR 2493, ,"","","",Presidential Document,Executive Order,03/12/1946,1946-03-08,"","Executive Order No.   Creating an Emergency Board To Investigate a Dispute Between the Alton Railroad Company and Other Carriers, and Certain of Their Employees","Revoked by: EO 12553, February 25, 1986",9702,""
11 FR 2369, ,"","","",Presidential Document,Executive Order,03/08/1946,1946-03-04,"",Executive Order No.   Providing for the Reservation of Rights to Fissionable Materials in Lands Owned by the United States,"Revokes: EO 9613, September 13, 1945
Revoked by: EO 9908, December 5, 1947
See: EO 10596, February 15, 1955; Public Land       Order 318, May 13, 1946 (11 FR 5745); Public Land Order 319, May 15, 1946       (11 FR 5745); Public Land Order 322, July 3, 1946 (11 FR 7744)",9701,""
